,Facility_ID,State,Hospital_Type,Hospital_Ownership,Emergency_Services,Hospital_overall_rating,Mortality_national_comparison,Safety_of_care_national_comparison,Readmission_national_comparison,Patient_experience,Effectiveness_of_care_national_comparison,Timeliness_of_care_national_comparison,Efficient_use_of_medical_imaging_national_comparison,Rate_of_readmission_after_discharge,Denominator,Readmission_after_discharge_Score,Lower_Estimate,Higher_Estimate,Care_transition,Cleanliness,Communication_about_medicines,Discharge_information,Doctor_communication,Nurse_communication,Quietness,Staff_responsiveness
0,10001,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,4474,15.6,14,17.4,3,3,3,4,3,3,4,3
1,10005,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,2018,15.9,13.8,18.1,3,2,3,4,4,3,4,3
2,10006,AL,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,3620,15.2,13.5,17.2,2,2,2,2,3,3,4,1
3,10007,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,No Different Than the National Rate,443,16.1,13.5,18.9,4,3,4,4,3,3,5,3
5,10011,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,No Different Than the National Rate,2053,15.4,13.7,17.2,3,2,3,3,3,3,3,3
6,10012,AL,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,696,15.3,13.2,17.7,1,3,2,3,3,2,4,2
7,10016,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,1955,15.9,14.1,17.8,3,2,3,3,3,2,3,3
9,10019,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,2046,15.6,13.9,17.4,3,3,4,3,4,4,4,3
12,10023,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2672,15.5,14,17,2,3,3,3,3,4,4,3
13,10024,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2773,15.8,14.4,17.4,2,2,3,3,3,3,4,4
14,10029,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,3146,14.1,12.8,15.7,3,2,3,3,4,4,5,3
15,10033,AL,Acute Care Hospitals,Government - State,Yes,2,Above the national average,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average,No Different Than the National Rate,6338,16.7,15.5,17.7,4,2,3,3,4,4,4,3
17,10035,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,2132,16.8,15.1,18.7,2,3,3,2,3,3,5,3
18,10036,AL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,888,15.7,13.8,17.8,1,3,2,2,2,2,3,2
19,10038,AL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,591,16.1,13.8,18.3,3,2,3,3,3,3,5,2
20,10039,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,10500,15.3,14.3,16.2,3,3,3,3,3,4,4,3
21,10040,AL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,No Different Than the National Rate,2569,15.8,14.4,17.4,2,2,2,3,2,3,4,2
25,10049,AL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,726,15.1,13.2,17.1,3,2,3,2,4,4,4,3
