Facility ID,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
10001,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
10005,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
10006,AL,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Below the national average
10007,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Same as the national average
10008,AL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Above the national average,Not Available
10011,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
10012,AL,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
10016,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
10018,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
10019,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
10021,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
10022,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
10023,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
10024,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
10029,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
10033,AL,Acute Care Hospitals,Government - State,Yes,2,Above the national average,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average
10034,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
10035,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
10036,AL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
10038,AL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
10039,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
10040,AL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average
10044,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
10045,AL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
10046,AL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Not Available
10049,AL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
10051,AL,Acute Care Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
10052,AL,Acute Care Hospitals,Proprietary,Yes,3,Not Available,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Not Available
10055,AL,Acute Care Hospitals,Proprietary,Yes,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
10056,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
10058,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
10059,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Above the national average,Not Available
10061,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Not Available
10062,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
10065,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
10069,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average
10073,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Not Available
10078,AL,Acute Care Hospitals,Government - Local,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
10079,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
10083,AL,Acute Care Hospitals,Proprietary,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
10085,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average
10086,AL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
10087,AL,Acute Care Hospitals,Government - State,Yes,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
10089,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
10090,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average
10091,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Not Available,Same as the national average,Below the national average,Below the national average,Same as the national average,Not Available
10092,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average
10095,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Same as the national average,Not Available
10097,AL,Acute Care Hospitals,Government - State,Yes,4,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
10099,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
10100,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
10101,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
10102,AL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
10103,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
10104,AL,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
10108,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,5,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
10109,AL,Acute Care Hospitals,Government - Local,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
10110,AL,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
10112,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
10113,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
10114,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
10118,AL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
10120,AL,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
10125,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Above the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Not Available
10126,AL,Acute Care Hospitals,Government - Federal,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
10128,AL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average,Above the national average,Not Available
10129,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Not Available
10130,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available
10131,AL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
10138,AL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
10139,AL,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
10144,AL,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
10148,AL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
10149,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
10150,AL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available
10157,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average
10158,AL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
10164,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
10168,AL,Acute Care Hospitals,Government - State,Yes,5,Not Available,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Not Available
10169,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Above the national average,Not Available
10173,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
11300,AL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
11302,AL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
11304,AL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
11305,AL,Critical Access Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average,Above the national average,Not Available
11306,AL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
13300,AL,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
13301,AL,Childrens,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14000,AL,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14006,AL,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14007,AL,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14012,AL,Psychiatric,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14014,AL,Psychiatric,Voluntary non-profit - Other,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14015,AL,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14016,AL,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14017,AL,Psychiatric,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14018,AL,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
20001,AK,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Above the national average
20006,AK,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
20008,AK,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
20012,AK,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
20017,AK,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
20018,AK,Acute Care Hospitals,Tribal,Yes,3,Same as the national average,Not Available,Above the national average,Below the national average,Same as the national average,Not Available,Not Available
