Facility ID,Score
50280,0.97
80003,1.01
141328,Not Available
190267,1.23
220010,1
230269,0.97
250060,1
281309,Not Available
330044,1.02
331303,Not Available
390013,0.95
391305,Not Available
451386,Not Available
520113,0.89
521325,Not Available
240104,0.87
60131,Not Available
101303,Not Available
10138,1.15
241328,Not Available
340187,1.01
150082,1.04
180036,1
113301,Not Available
330106,1.02
291300,Not Available
441322,Not Available
451392,Not Available
171326,Not Available
161371,Not Available
453313,Not Available
263301,Not Available
100154,1.08
521307,Not Available
510013,0.96
450299,1.02
201311,Not Available
150115,0.94
181311,Not Available
231307,Not Available
450203,1.12
160058,0.98
60103,0.98
450023,1.14
290009,0.88
450876,1.01
111327,Not Available
161339,Not Available
50230,1.06
320017,1
151307,Not Available
30083,0.97
330250,0.95
191301,Not Available
140197,1.07
140150,1.02
250097,1.01
250136,Not Available
521318,Not Available
351301,Not Available
450890,1.08
510024,1.05
371317,Not Available
100055,1.02
450573,1
510071,0.98
251333,Not Available
21307,Not Available
251326,Not Available
340148,0.9
231322,Not Available
240014,0.84
161324,Not Available
230085,0.85
171374,Not Available
330004,1.06
230239,0.85
471304,Not Available
420005,0.89
450788,1.02
190079,0.91
380082,0.92
230002,0.97
250019,1.09
450148,1.04
451371,Not Available
50586,0.88
440040,0.85
170200,0.91
140007,1.11
50169,0.96
420015,0.99
450647,1.02
181324,Not Available
390004,1.14
360156,1
260210,0.92
330226,0.91
141310,Not Available
100243,0.97
110006,0.95
331301,Not Available
490042,0.94
390084,1.03
420086,0.98
50135,1.28
60100,1.01
450399,1.03
111334,Not Available
41320,Not Available
270049,0.96
380071,0.81
210019,Not Available
101304,Not Available
191318,Not Available
150061,1.15
441305,Not Available
440133,1.02
330023,0.97
281356,Not Available
50737,1.14
193301,Not Available
271330,Not Available
261313,Not Available
271311,Not Available
450351,1.04
131309,Not Available
110109,0.87
220135,0.97
50548,Not Available
281319,Not Available
390036,1.04
450617,1.06
41303,Not Available
281303,Not Available
110069,0.99
10001,1.01
450143,0.95
140177,1.08
251320,Not Available
670095,Not Available
100087,1.04
390323,0.96
51303,Not Available
61319,Not Available
190312,1.05
150021,0.99
220063,0.99
220036,1.04
20001,0.91
170186,0.96
170194,1.06
140013,0.95
360172,1.12
180088,1.01
50589,1.13
451367,Not Available
50191,1.06
241380,Not Available
260047,0.95
200019,0.94
420049,0.93
140223,1.05
230264,Not Available
450694,1.01
390201,1.01
190025,1.11
360230,0.99
50336,0.94
110146,0.89
31300,Not Available
420051,0.98
140252,1.1
450462,1.08
50744,1.13
450677,0.97
140125,0.97
250151,0.93
271343,Not Available
51332,Not Available
340075,0.95
100062,1.05
500051,0.92
351321,Not Available
210058,Not Available
111302,Not Available
241340,Not Available
231330,Not Available
340001,0.99
171336,Not Available
160033,0.96
30013,1
231317,Not Available
370216,0.94
460043,Not Available
520027,0.97
490144,0.97
70004,0.91
100012,1.02
450834,0.93
150011,0.98
201314,Not Available
40078,1.06
50036,0.99
241361,Not Available
290046,1.12
130028,0.96
440235,1.17
490090,0.96
330079,0.92
450079,1.02
170039,0.86
431328,Not Available
300003,1.01
520062,1
440070,1.05
271326,Not Available
361320,Not Available
260094,0.93
260142,0.85
330386,0.98
230195,1.03
390237,1.01
161313,Not Available
