	username	rating	content
0	Richard Reynolds	5	Very nice people but I was shocked to see that no money was being pass at the restaurants they were signs stating no cash that is against the law because money is currency
1	Sandra R Mercier	5	Boston Massachusetts General Hospital is the best place for you to get any information about .about getting a transplants
2	Melodie Goodwin	1	Very poor communication. I would not recommend this hospital unless you can sit by your family member at all times.
3	Amir Amiri	1	I had a test there and for low quality laboratory I never got its result and they billed me twice!! NEVER EVER GO to MGH!!
4	Sherry Collard	5	The doctors in the staff are very friendly and caring
5	Ninochka	5	Thank you is not enough for DR. DOUGLAS BROWN.  This is way overdue, but thank you for your genuine kindness, patience and wonderful care of me during a difficult time and subsequent hysterectomy.  I could not have connected with a better surgeon and all around wonderful human being.  Nina S.
6	Jennifer House	1	Might be a good place but maybe they should check the trash working there!! This post was uncalled for by a nurse that works there
7	Blondie	5	"Thank you to all that have helped us in the efforts of taking care of my daughter! You all have been very kind and helpful in her care.

We know that with your care we will come to  conclusions. Your knowledge and upkeep of it will help millions of people now and for years to come!

We thank you all!"
8	Torrean Slaughter	5	Thank you for good care
9	Felipe Furtado	5	One of the finest hospital in the United States, and the #1 ranked in the East Coast, they provide excellent patient care across all departments, while also carrying out groundbreaking research.
10	Jake Slocum	5	Top notch people and care
11	Jacqui Nazario	5	Staff was very friendly and my kids liked everyone. The children's er staff is amazing.
12	Astrni	1	"So is this your employee??
Pretty unprofessional.
Might want to rethink your staff."
13	Jessica Seth	1	An absolutely Amazing team of doctors and oncology staff took care of my mother. However, as a nurse leader myself- the nursing care and compassion is severely lacking. There is a very poor nursing culture and it shows in how they handle patients and families.
14	Ryan Pehrson	1	"There may be good doctors here, but it’s a bad place for PATIENTS. And it is very clear that they do not care about the patient experience. As one small example. Today we showed up on time for our early am appointment. 15 minutes later we inquired about how long it was going to be.

It was like we were speaking an alien tongue. Then it was as if we were impolite to even dare to enquire about how late they were running. In any other profession, someone who is so flagrantly late all the time wouldn’t have a career at all. We were on time; why can’t they be?

My fiancée was sitting there anxious for over 45 minutes past the appointment time. I’m sure they’re going to diagnose her with high blood pressure now... when really the problem is they have zero focus on patient experience or, bluntly, any sense of professional courtesy."
15	American - Canadian Wrestling Federation	1	"In November 2014, I was admitted to the MGH via the ER; and even though I was a patient of yours for only 48 hours, it truly was the worst experience of my entire life; due to specific ways I was subjected to, which I won't disclose publicly.

I have since written a formal letter to the President's Office with another letter forthcoming.

In closing, to this very day; I am still in therapy (which has now come close to six-figure range in costs) due to the trauma I had sustained and; whether the MGH does not want to believe me, with all respect in mind; I honestly don't care, as it is indeed the truth I'm telling.

Take care, and I truly do wish you the very best."
16	Alexandra A.	4	Quick to use restraints in psych unit. <I was cuffed n stuffed😵😭 Still better than the trash at CHA. Let you have your phone even on suicide watch😉🔫
17	Steven Riendeau	5	One of the greatest hospitals in the world right here our backyard.
18	J Hu	5	I did my CO-OP here during my second year of pharmacy school.  Thanks for training me.  Congratulations for ranking number two nationally in the USNews hospital ranking.  Mass General Hospital along with Brigham and Women’s Hospital are the two principle teaching hospitals of Harvard Medical School which is the top ranking medical school in the country.
19	Sana Ahmed	4	Great but they are getting dated.. consult rooms look like those in 70s..
