User_name,Location,Rating,Date,Reviews
Clayton H.,"Honolulu, HI",5,2/27/20,"AHI POKE AND SPICY TUNA LOVERS ATTENTION Some shoppers mention lack of parking, and stalls are tight. Actually there's lots more parking under the store and  if your not looking for it, it's easy to miss.However that being said. This is the only Costco that I know of in Massachusetts that can make a killer Ahi Poke  and Spicy Tuna. And that's saying a lot considering I lived in Hawaii my entire life ""Poke Capital""The down side of this, it's only offered 8 times a year.So poke lovers look for the big sign just above the meats in the meat section. That reads SEAFOOD ROADSHOW and dates will be posted.You won't be disappointed that's a guarantee"
Keiko A.,"大井, Shinagawa, Japan",2,9/23/20,"Shopping carts were not clean at all.  Please clean them well.  Inside was dirty.  I don't hate Costco, but I hope they clean the carts (inside and outside) and inside of store better."
Rachel F.,"Waltham, MA",1,9/28/20,Absolutely the rudest associates and managers ever encountered. Love being treated like a criminal over a membership card.
Nikolai K.,"Waltham, MA",4,2/2/20,"Solid Costco. If you're reading this review I'm assuming you're considering going to this one, if you have a membership you've been to a Costco before so you know how it works. Nothing unusual here.We come here almost every weekend for errands, groceries, etc. Got our tires serviced here a few times at the tire center. Never had any bad experiences here. Employees and customer service people are all nice.Pros compared to other Costcos: this one has a covered parking garage.Cons compared to other Costcos: a little on the smaller side but not by much, also there's no Costco gas (but in the northeast this is a bit rare to begin with)."
Lora F.,"Sarasota, FL",1,7/23/20,"Since when have Employees at Costco been giving permission to be so RUDE?!In there today.. dropped 400 plus.. asked for a box for my items.. was told "" they are over there.  Get them yourself"" ?! Are Fn Kidding me?!Like we dont have  enough to deal with?!..being hurded like sheep to what ever line they force you to, plexiglass,  spraying  sanitizing crap all over me while i loaded my items! And.. And on my way out.. the guy at the door LITERALLY grabbed the receipt out of hand, so aggressively and pushed my hand away, with such disdain. Time to cancel my membership. It used to be so cool to shop there  with great value and unusual items.  Not now.. same crap as Walmarts! Later Costco!"
Paul Z.,"Belmont, MA",3,2/7/20,It's a fine Costco but the parking lot is terrible. The spots are too small and there is not enough room between the rows. It can take ten minutes to get in and out most times. The store itself is good. They have wine beer and liquor which is nice.
Christopher G.,"Hanscom Air Force Base, MA",4,3/9/19,"I am definitely a long-time fan of Costco!!  Most of everything you need can be most here.  From rotisserie chicken, spinach artichoke dip, fresh bakery items, storage bins, baby wipes, even alcohol... it's mostly here.  However, this particular Costco is smaller than those I am used to in Michigan, with less produce/products/merchandise available.  One of my favorite items (bacon-wrapped scallops) is not sold here, yet was always available in Michigan??  But I digress.There is no gas station at this location, which is a big loss to consumers."
James S.,"Warrendale, Waltham, MA",5,4/20/19,"I really like Costco for bulk food shopping at a great price.  The employees seem to stay for long periods of time which tells me they treat the employees well.  The store is well kept and clean and the food quality is very good.I also like the optical department, tires, liquor store and food court.I love the hot dog and soda for $1.50I always ask for sauerkraut and then put fresh diced onions, deli mustard and relish.OMG, soooooo good!I also often get the whole pizza.Extra large Cheese, pepperoni or everything for $9.95 each.Overall, Costco is a great place to shop!!"
Esss E.,"Cambridge, MA",1,2/9/20,Costco Hearing Aid Center pulled through. Excellent service especially from audiologist Elizabeth.
Xin C.,"Minneapolis, MN",2,1/9/20,"[Complaint against Membership employee Jaz] Okay I have always liked Costco but today at Waltham Costco this membership person named Jaz had really bad attitude. I don't know if she's always like this or just was in a really bad mood. I wanted to use a membership certificate I recently bought on Costco's online partner that offers you $10 cash card for membership. When at the desk with Jaz, she says you can't get this $10 cash card because it requires your prior membership to have expired for 18 months. That is indeed a requirement buried in super tiny font in the very end of the certificate that I didn't know. (on sites like Groupon for things like this they will warn you of these restrictions very clearly, terrible certificate :/) But anyway this is not her faulty. Then I asked her to check if there are ways to establish a new account since I moved to a new place, she's very annoyed and says there's no way since my name and DOB matched with my old account. I'm okay not getting this cash card, it's her attitude and her ash-colored and stiff face that really bothered me. At one point she even said ""you inactived your membership 5 month ago for reasons I will not ask..."" I was like, what are you suggesting? That I canceled in the past so that I can take advantage of the signup now? For A) I CAN! for B) I moved to a town without Costco five months ago, of course I needed to cancel it. DON'T ASSUME THINGS AND SAY IT WITH A BAD ATTITUDE JAZ!I called and complained to her supervisor after I left, I hope this will be addressed."
